policy,run_timestamp,avg_total_cost_per_day,avg_cost_per_call,avg_reward_per_day,avg_calls_per_day,tag
3. Greedy XGBoost,2025-11-11 17:04:04,8938.430326104311,14.717503281181632,112528.23634056233,607.3333333333334,clean_baseline_test
2. Rule-Based,2025-11-11 17:04:04,9254.382810454543,15.23773239921165,112212.28385621209,607.3333333333334,clean_baseline_test
1. Random,2025-11-11 17:04:04,10802.547033974957,17.78685022059543,110664.11963269165,607.3333333333334,clean_baseline_test
5. PPO (RL Agent),2025-11-13 10:37:07,17.704019111115013,13.27801433333626,248.96264755555163,1.3333333333333333,final_rl_eval
4. DQN (RL Agent),2025-11-13 10:37:07,19.93854569284387,14.953909269632904,246.7281209738228,1.3333333333333333,final_rl_eval
3. Greedy XGBoost,2025-11-13 10:37:07,8938.430326104311,14.717503281181632,112528.23634056233,607.3333333333334,final_rl_eval
2. Rule-Based,2025-11-13 10:37:07,9254.382810454543,15.23773239921165,112212.28385621209,607.3333333333334,final_rl_eval
1. Random,2025-11-13 10:37:07,10802.547033974957,17.78685022059543,110664.11963269165,607.3333333333334,final_rl_eval
Masked PPO (200k),2025-11-25 12:00:00,9966.93,16.22,-9966.93,614.5,masked_ppo_200k
3. Greedy XGBoost,2025-12-01 12:03:06,9256.757100435178,15.063884622351795,-9256.757100435178,614.5,fresh_validation_run
2. Rule-Based,2025-12-01 12:03:06,9549.023651931957,15.53950146774932,-9549.023651931957,614.5,fresh_validation_run
1. Random,2025-12-01 12:03:06,11171.705510032441,18.18015542722936,-11171.705510032441,614.5,fresh_validation_run
