mode,std_dev,min_effect,power,required_n
random,0.24830552409138368,0.5,0.8,4
random,0.24830552409138368,0.5,0.9,6
random,0.24830552409138368,1.0,0.8,1
random,0.24830552409138368,1.0,0.9,2
random,0.24830552409138368,1.5,0.8,1
random,0.24830552409138368,1.5,0.9,1
random,0.24830552409138368,2.0,0.8,1
random,0.24830552409138368,2.0,0.9,1
calendar,1.030222997249462,0.5,0.8,67
calendar,1.030222997249462,0.5,0.9,90
calendar,1.030222997249462,1.0,0.8,17
calendar,1.030222997249462,1.0,0.9,23
calendar,1.030222997249462,1.5,0.8,8
calendar,1.030222997249462,1.5,0.9,10
calendar,1.030222997249462,2.0,0.8,5
calendar,1.030222997249462,2.0,0.9,6
