date,call_count,day_of_week,day_name
2024-01-01,46,0,Monday
2024-01-02,116,1,Tuesday
2024-01-03,113,2,Wednesday
2024-01-04,122,3,Thursday
2024-01-05,87,4,Friday
2024-01-06,86,5,Saturday
2024-01-07,81,6,Sunday
2024-01-08,123,0,Monday
2024-01-09,106,1,Tuesday
2024-01-10,114,2,Wednesday
2024-01-11,106,3,Thursday
2024-01-12,122,4,Friday
2024-01-13,102,5,Saturday
2024-01-14,88,6,Sunday
2024-01-15,131,0,Monday
2024-01-16,144,1,Tuesday
2024-01-17,124,2,Wednesday
2024-01-18,141,3,Thursday
2024-01-19,141,4,Friday
2024-01-20,119,5,Saturday
2024-01-21,82,6,Sunday
2024-01-22,150,0,Monday
2024-01-23,122,1,Tuesday
2024-01-24,83,2,Wednesday
2024-01-25,98,3,Thursday
2024-01-26,87,4,Friday
2024-01-27,77,5,Saturday
2024-01-28,63,6,Sunday
2024-01-29,133,0,Monday
2024-01-30,98,1,Tuesday
