policy,avg_total_cost_per_day,avg_cost_per_call,avg_reward_per_day,avg_calls_per_day
2. Rule-Based,37876.878633710534,31.072090757760897,-37876.878633710534,1219.0
1. Random,38634.14144850316,30.88260707314401,-38634.14144850316,1251.0
3. Greedy XGBoost,38985.74443924659,30.62509382501696,-38985.74443924659,1273.0
3. Greedy XGBoost,2025-11-09 02:21:39,18472.35843173494,30.183592208717226,-18472.35843173494,612.0
1. Random,2025-11-09 02:21:39,18798.45883579922,30.41821818090489,-18798.45883579922,618.0
2. Rule-Based,2025-11-09 02:21:39,20492.02169975845,30.90802669646825,-20492.02169975845,663.0
3. Greedy XGBoost,2025-11-09 11:25:07,18791.90215518291,30.407608665344515,-18791.90215518291,618.0
2. Rule-Based,2025-11-09 11:25:07,18795.38815950576,30.41324944903845,-18795.38815950576,618.0
1. Random,2025-11-09 11:25:07,18798.45883579922,30.41821818090489,-18798.45883579922,618.0
3. Greedy XGBoost,2025-11-09 11:50:27,18791.90215518291,30.407608665344515,-18791.90215518291,618.0
2. Rule-Based,2025-11-09 11:50:27,18795.38815950576,30.41324944903845,-18795.38815950576,618.0
1. Random,2025-11-09 11:50:27,18798.45883579922,30.41821818090489,-18798.45883579922,618.0
2. Rule-Based,2025-11-09 13:20:11,7457.551136030485,12.06723484794577,-7457.551136030485,618.0
3. Greedy XGBoost,2025-11-09 13:20:11,8558.685327247364,13.84900538389541,-8558.685327247364,618.0
1. Random,2025-11-09 13:20:11,8884.606246265545,14.376385511756544,-8884.606246265545,618.0
2. Rule-Based,2025-11-09 13:28:07,8810.73258264906,14.25684883923796,-8810.73258264906,618.0
3. Greedy XGBoost,2025-11-09 13:28:07,9410.130061670485,15.226747672605962,-9410.130061670485,618.0
1. Random,2025-11-09 13:28:07,10188.01755142584,16.485465293569323,-10188.01755142584,618.0
2. Rule-Based,2025-11-09 13:43:04,8810.73258264906,14.25684883923796,-8810.73258264906,618.0,
3. Greedy XGBoost,2025-11-09 13:43:04,9410.130061670485,15.226747672605962,-9410.130061670485,618.0,
1. Random,2025-11-09 13:43:04,10188.01755142584,16.485465293569323,-10188.01755142584,618.0,
5. PPO (RL Agent),2025-11-09 15:03:53,439.35884436669704,12.553109839048487,-439.35884436669704,35.0,quick_smoke
4. DQN (RL Agent),2025-11-09 15:03:53,520.0766359559166,14.719150074224054,-520.0766359559166,35.333333333333336,quick_smoke
2. Rule-Based,2025-11-09 15:03:53,8557.010736690858,14.089479807943233,-8557.010736690858,607.3333333333334,quick_smoke
3. Greedy XGBoost,2025-11-09 15:03:53,9231.753673061774,15.200472568158792,-9231.753673061774,607.3333333333334,quick_smoke
1. Random,2025-11-09 15:03:53,9820.015580211537,16.169070658965207,-9820.015580211537,607.3333333333334,quick_smoke
5. PPO (RL Agent),2025-11-09 22:19:26,505.3854046065836,14.398444575686142,-505.3854046065836,35.1,full_run
4. DQN (RL Agent),2025-11-09 22:19:26,533.1709120773263,15.36515596764629,-533.1709120773263,34.7,full_run
2. Rule-Based,2025-11-09 22:19:26,9072.42843884124,14.341492947899525,-9072.42843884124,632.6,full_run
3. Greedy XGBoost,2025-11-09 22:19:26,9714.182799862614,15.35596395805029,-9714.182799862614,632.6,full_run
1. Random,2025-11-09 22:19:26,10377.968790423653,16.405262077811653,-10377.968790423653,632.6,full_run
5. PPO (RL Agent),2025-11-10 00:44:33,419.5127054485868,13.247769645744846,-419.5127054485868,31.666666666666668,penalty_test
4. DQN (RL Agent),2025-11-10 00:44:33,458.8546410454269,14.33920753266959,-458.8546410454269,32.0,penalty_test
2. Rule-Based,2025-11-10 00:44:33,8557.010736690858,14.089479807943233,-8557.010736690858,607.3333333333334,penalty_test
3. Greedy XGBoost,2025-11-10 00:44:33,9231.753673061774,15.200472568158792,-9231.753673061774,607.3333333333334,penalty_test
1. Random,2025-11-10 00:44:33,9820.015580211537,16.169070658965207,-9820.015580211537,607.3333333333334,penalty_test
5. PPO (RL Agent),2025-11-10 11:40:06,476.449135593671,14.350877578122619,-476.449135593671,33.2,penalty_full
4. DQN (RL Agent),2025-11-10 11:40:06,704.4369734917769,14.494587931929566,-704.4369734917769,48.6,penalty_full
2. Rule-Based,2025-11-10 11:40:06,9072.42843884124,14.341492947899525,-9072.42843884124,632.6,penalty_full
3. Greedy XGBoost,2025-11-10 11:40:06,9714.182799862614,15.35596395805029,-9714.182799862614,632.6,penalty_full
1. Random,2025-11-10 11:40:06,10377.968790423653,16.405262077811653,-10377.968790423653,632.6,penalty_full
